"fact_id","subject_id","subject_label","predicate_pid","predicate_label","value","value_type","source","source_url","retrieved_at"
"F0001","Q104844715","Paxos Trust Company","P571","inception","2012","date","wikidata","https://www.wikidata.org/wiki/Q104844715","2026-04-08"
"F0002","Q104844715","Paxos Trust Company","P856","official website","https://paxos.com/","url","wikidata","https://www.wikidata.org/wiki/Q104844715","2026-04-08"
"F0003","Q483959","PayPal","P571","inception","1998","date","wikidata","https://www.wikidata.org/wiki/Q483959","2026-04-08"
"F0004","Q483959","PayPal","P856","official website","https://www.paypal.com/","url","wikidata","https://www.wikidata.org/wiki/Q483959","2026-04-08"
"F0005","Q950419","Mercado Libre","P571","inception","1997-08-02","date","wikidata","https://www.wikidata.org/wiki/Q950419","2026-04-08"
"F0006","Q950419","Mercado Libre","P856","official website","https://www.mercadolibre.com/","url","wikidata","https://www.wikidata.org/wiki/Q950419","2026-04-08"
"F0007","Q30588516","Blockchain Capital","P571","inception","2013","date","wikidata","https://www.wikidata.org/wiki/Q30588516","2026-04-08"
"F0008","Q30588516","Blockchain Capital","P856","official website","https://blockchain.capital/","url","wikidata","https://www.wikidata.org/wiki/Q30588516","2026-04-08"
"F0009","Q1191721","Depository Trust & Clearing Corporation","P571","inception","1999","date","wikidata","https://www.wikidata.org/wiki/Q1191721","2026-04-08"
"F0010","Q1191721","Depository Trust & Clearing Corporation","P856","official website","https://www.dtcc.com/","url","wikidata","https://www.wikidata.org/wiki/Q1191721","2026-04-08"
"F0011","Q7982301","Wences Casares","P569","date of birth","1974-02-26","date","wikidata","https://www.wikidata.org/wiki/Q7982301","2026-04-08"
"F0012","Q5996574","Marcos Galperin","P569","date of birth","1971-10-31","date","wikidata","https://www.wikidata.org/wiki/Q5996574","2026-04-08"
"F0013","Q18208378","Xapo","P856","official website","https://xapo.com/","url","wikidata","https://www.wikidata.org/wiki/Q18208378","2026-04-08"
